steps,reward,latency,bandwidth
13200,-1.464,1.333,0.1292017
13203,1.257,0.419,0.20582358
13207,1.283,0.402,0.20582358
13211,1.3,0.441,0.05767309
13217,0.362,0.438,0.76334807
13221,0.173,0.395,0.1709423
13245,-6.081,2.086,0.01936618
13250,0.415,0.543,0.28737835
13262,-2.427,1.019,0.1709423
13265,1.391,0.522,0.14181017
13272,-0.571,0.874,0.03211208
13282,-1.542,1.198,0.02606726
13292,0.559,1.22,0.16731505
13305,-2.3,1.272,0.11262371
13309,1.227,0.351,0.1709423
13320,-1.536,1.251,0.1709423
13321,1.01,0.154,0.98070889
13330,-1.179,1.212,0.1292017
13338,-0.63,0.564,0.08052643
13340,1.178,0.21,0.2659298
13343,0.154,0.332,0.16731505
13351,-1.574,0.656,0.08052643
13359,0.403,0.598,0.20707
13365,0.333,0.845,0.02606726
13368,1.332,0.539,0.14478646
13378,-0.485,0.824,0.11262371
13388,-1.357,1.42,0.05767309
13396,-0.354,1.004,0.1292017
13401,0.405,0.649,0.16731505
13412,-1.168,1.166,0.06793869
13415,0.187,0.514,0.14920605
13430,-3.065,2.223,0.01936618
13438,-0.539,0.616,0.11488941
13446,-0.626,0.635,0.08052643
13473,-9.593,3.821,0.05767309
13483,-2.375,1.212,0.11488941
13491,-1.514,1.003,0.33628948
13499,-0.788,0.38,0.08052643
13506,-1.924,0.285,0.08052643
13509,1.096,0.216,0.1292017
13511,1.074,0.135,0.06793869
13533,-5.93,3.15,0.14181017
13545,-3.413,1.343,0.46110683
13555,-1.631,0.844,0.01936618
13565,-1.613,0.792,0.16225102
13568,1.429,0.503,0.11262371
13581,-2.084,1.729,0.04316252
13585,0.211,0.619,0.1341009
13588,1.214,0.224,0.6440377
13591,1.094,0.191,0.28737835
13593,1.121,0.229,0.50133923
13598,0.312,0.542,0.01936618
13601,0.178,0.411,0.4100498
13604,0.173,0.394,0.33911364
13608,0.09,0.451,0.27531128
13613,0.353,0.523,0.01936618
13614,1.01,0.121,0.31826592
13615,1.01,0.12,0.78496239
13618,1.181,0.344,0.11441689
13632,-3.473,1.208,0.1292017
13642,-1.617,1.011,0.19993387
13650,-0.418,1.089,0.5823415
13657,-0.636,0.692,0.16731505
13671,-2.445,1.238,0.02606726
13679,-2.398,1.291,0.03211208
13686,-0.618,0.772,0.2659298
13695,-0.464,0.85,0.45673309
13708,-2.402,1.113,0.11441689
13723,-3.387,1.477,0.01936618
13735,-2.169,1.528,0.06793869
13742,-1.723,0.574,0.2659298
13753,-2.409,1.065,0.1709423
13759,0.384,0.707,0.27531128
13764,-0.811,0.556,0.11488941
13767,0.177,0.395,0.11441689
13772,1.321,0.362,0.11262371
13776,1.452,0.686,0.14181017
13788,-2.371,1.286,0.11488941
13812,-7.826,3.3,0.04316252
13815,0.074,0.295,0.91189265
13817,1.03,0.152,0.02606726
13818,1.01,0.068,0.20582358
13825,-1.408,1.205,0.52516486
13831,-0.706,0.746,0.21766825
13835,0.278,0.463,0.18957809
13842,-0.75,0.681,0.2659298
13846,0.301,0.492,0.37372287
13854,-1.547,0.848,0.06793869
13857,1.105,0.183,0.2659298
13863,-0.726,0.723,0.24642506
13866,1.345,0.522,0.03211208
13869,0.154,0.744,0.1341009
13872,1.199,0.265,0.11488941
13895,-6.781,2.808,0.14478646
13919,-8.089,1.661,0.08052643
13929,-0.36,1.381,0.14478646
13933,0.148,0.226,0.27531128
13938,1.237,0.325,0.06793869
13943,-0.858,0.439,0.26176816
13954,-0.202,1.62,0.14181017
13956,1.138,0.27,0.60818677
13959,0.15,0.314,0.04316252
13964,-0.651,0.753,0.24058643
13977,-2.326,1.21,0.14920605
13985,1.405,0.878,0.04316252
13994,-1.481,1.214,0.39507319
14000,0.326,0.463,0.11441689
14003,1.158,0.415,0.37576764
14006,1.105,0.183,0.2659298
14014,-0.561,0.925,0.11262371
14015,1.01,0.087,0.37372287
14025,-1.608,1.442,0.11262371
14036,-1.145,1.535,0.05767309
14043,-0.551,0.782,0.2659298
14051,-0.372,1.17,0.11441689
14055,1.357,0.387,0.52516486
14071,-4.232,1.352,0.11262371
14078,0.506,0.621,0.08052643
14086,0.422,1.048,0.38138034
14089,1.229,0.232,0.08052643
14094,0.322,0.485,0.08052643
14102,-1.63,0.727,0.04316252
14104,1.05,0.183,0.53568113
14108,1.17,0.295,0.28737835
14117,-0.242,1.294,0.16225102
14125,-0.7,0.717,0.11488941
14128,1.208,0.25,0.50130547
14137,-0.641,1.273,0.04316252
14143,0.367,0.645,0.25033968
14145,1.083,0.267,0.14478646
14148,0.218,0.421,0.1709423
14158,-2.4,1.284,0.04316252
14159,1.01,0.123,0.35206481
14171,-3.436,1.102,0.08052643
14181,-1.664,1.081,0.01936618
14184,1.287,0.431,0.24058643
14192,0.625,1.008,0.4100498
14198,-0.593,0.912,0.16225102
14199,1.01,0.127,0.22252502
14202,1.284,0.347,0.14478646
14207,1.239,0.443,0.11441689
14217,-1.405,0.963,0.06793869
14220,1.396,0.502,0.1341009
14224,0.174,0.354,0.06793869
14226,1.03,0.144,0.9005571
14232,-0.693,0.977,0.1341009
14236,0.462,0.781,0.06793869
14241,1.246,0.397,0.08052643
14252,-1.068,1.643,0.03211208
14260,0.264,0.488,0.01936618
14268,-0.658,0.681,0.02606726
14273,0.492,0.774,0.08052643
14284,-1.447,1.206,0.11488941
14297,-2.382,1.622,0.05767309
14303,-0.648,0.645,0.11262371
14321,-4.149,1.517,0.11441689
14336,-4.305,1.69,0.18957809
14352,-3.433,1.731,0.11488941
14355,1.283,0.365,0.01936618
14363,-0.546,0.712,0.4100498
14365,1.277,0.295,0.20848115
14366,1.01,0.111,0.50133923
14369,1.295,0.429,0.16731505
14370,1.01,0.071,0.97497347
14378,0.397,0.987,0.1709423
14379,1.01,0.123,0.35206481
14387,0.455,0.816,0.14920605
14392,0.201,0.385,0.76334807
14402,-1.173,1.385,0.05767309
14410,-0.616,0.781,0.16731505
14413,1.257,0.401,0.20582358
14423,-2.127,1.694,0.04316252
14437,-3.485,1.949,0.04316252
14444,0.347,0.788,0.14478646
14454,-0.555,0.721,0.1709423
14457,0.088,0.399,0.20848115
14463,1.429,0.638,0.5823415
14466,0.12,0.364,0.21766825
14471,0.359,0.632,0.05767309
14475,1.379,0.655,0.14478646
14488,-2.494,0.949,0.11262371
14501,-2.032,1.944,0.16731505
